,,,,US STOCKS,,,BONDS,,CASH,BILLS,INFLATION,,
,Morningstar,Yahoo,Ibbottson,,Ibbottson,Ibbottson,,Ibbottson,FRED (TB4WK),,Ibbottson,FRED (CPIAUCSL),
date,AGG,SP500TR,Large Caps,Spliced H+G,Mid-Treasuries,Mid-Corporate Bonds,Spliced B+40%F+60%G,30 day Treas Bills,4-Week Bill,Spliced I+J,,,Spliced L+M
11/27/1938,,,1.939,1.375,1.756,2.279,34.24,1.221,,1.221,0.78,,13.99
12/27/1938,,,2.016,1.429,1.765,2.307,34.577,1.221,,1.221,0.782,,14.025
1/27/1939,,,1.881,1.334,1.77,2.312,34.66,1.22,,1.22,0.778,,13.954
2/27/1939,,,1.954,1.385,1.785,2.327,34.908,1.221,,1.221,0.775,,13.9
3/27/1939,,,1.692,1.2,1.799,2.332,35.05,1.22,,1.22,0.773,,13.864
4/27/1939,,,1.688,1.197,1.806,2.347,35.245,1.22,,1.22,0.771,,13.828
5/27/1939,,,1.811,1.284,1.823,2.359,35.477,1.22,,1.22,0.771,,13.828
6/27/1939,,,1.701,1.206,1.823,2.367,35.556,1.221,,1.221,0.771,,13.828
7/27/1939,,,1.889,1.339,1.831,2.365,35.589,1.221,,1.221,0.771,,13.828
8/27/1939,,,1.766,1.252,1.804,2.272,34.488,1.221,,1.221,0.771,,13.828
9/27/1939,,,2.062,1.462,1.756,2.307,34.517,1.221,,1.221,0.786,,14.097
10/27/1939,,,2.036,1.443,1.812,2.361,35.424,1.221,,1.221,0.782,,14.025
11/27/1939,,,1.955,1.386,1.825,2.38,35.699,1.221,,1.221,0.782,,14.025
12/27/1939,,,2.008,1.424,1.845,2.399,36.02,1.221,,1.221,0.778,,13.954
1/27/1940,,,1.941,1.376,1.842,2.41,36.109,1.221,,1.221,0.777,,13.936
2/27/1940,,,1.966,1.394,1.849,2.415,36.205,1.221,,1.221,0.782,,14.025
3/27/1940,,,1.991,1.412,1.865,2.427,36.43,1.221,,1.221,0.78,,13.99
4/27/1940,,,1.986,1.408,1.865,2.405,36.211,1.221,,1.221,0.78,,13.99
5/27/1940,,,1.531,1.085,1.825,2.4,35.897,1.221,,1.221,0.782,,14.025
6/27/1940,,,1.655,1.173,1.86,2.429,36.417,1.221,,1.221,0.784,,14.061
7/27/1940,,,1.712,1.214,1.86,2.434,36.466,1.221,,1.221,0.782,,14.025
8/27/1940,,,1.772,1.256,1.868,2.436,36.539,1.221,,1.221,0.78,,13.99
9/27/1940,,,1.793,1.271,1.877,2.458,36.817,1.221,,1.221,0.782,,14.025
10/27/1940,,,1.869,1.325,1.884,2.47,36.982,1.221,,1.221,0.782,,14.025
11/27/1940,,,1.81,1.283,1.894,2.486,37.207,1.221,,1.221,0.782,,14.025
12/27/1940,,,1.812,1.285,1.899,2.48,37.181,1.221,,1.221,0.786,,14.097
1/27/1941,,,1.728,1.225,1.9,2.482,37.207,1.221,,1.221,0.786,,14.097
2/27/1941,,,1.718,1.218,1.891,2.483,37.158,1.221,,1.221,0.786,,14.097
3/27/1941,,,1.73,1.226,1.904,2.478,37.194,1.221,,1.221,0.79,,14.169
4/27/1941,,,1.624,1.151,1.91,2.497,37.422,1.221,,1.221,0.797,,14.294
5/27/1941,,,1.653,1.172,1.912,2.509,37.555,1.221,,1.221,0.803,,14.402
6/27/1941,,,1.749,1.24,1.923,2.525,37.786,1.221,,1.221,0.818,,14.671
7/27/1941,,,1.85,1.312,1.923,2.541,37.945,1.221,,1.221,0.821,,14.725
